onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
317.494140625	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	162558	250
319.529296875	1	taste	trialStart	1	1	1	foodImage.67	FOODEEG_Images\0679.jpg	YN	Right	No	1.72054399992339	0	163600	251
320.58984375	2	taste	foodImageDisplay	1	1	1	foodImage.67	FOODEEG_Images\0679.jpg	YN	Right	No	1.72054399992339	0	164143	252
322.65625	1.72054399992339	taste	choicePhaseStart	1	1	1	foodImage.67	FOODEEG_Images\0679.jpg	YN	Right	No	1.72054399992339	0	165201	253
324.369140625	0	taste	response	1	1	1	foodImage.67	FOODEEG_Images\0679.jpg	YN	Right	No	1.72054399992339	0	166078	235
325.478515625	1	health	trialStart	1	2	2	foodImage.37	FOODEEG_Images\0359.jpg	NY	Left	No	3.7537327001337	0	166646	251
326.51953125	2	health	foodImageDisplay	1	2	2	foodImage.37	FOODEEG_Images\0359.jpg	NY	Left	No	3.7537327001337	0	167179	252
328.583984375	3.7537327001337	health	choicePhaseStart	1	2	2	foodImage.37	FOODEEG_Images\0359.jpg	NY	Left	No	3.7537327001337	0	168236	253
332.328125	0	health	response	1	2	2	foodImage.37	FOODEEG_Images\0359.jpg	NY	Left	No	3.7537327001337	0	170153	234
333.380859375	1	taste	trialStart	1	3	3	foodImage.105	FOODEEG_Images\0913.jpg	YN	Right	No	2.26696279994212	0	170692	251
334.421875	2	taste	foodImageDisplay	1	3	3	foodImage.105	FOODEEG_Images\0913.jpg	YN	Right	No	2.26696279994212	0	171225	252
336.484375	2.26696279994212	taste	choicePhaseStart	1	3	3	foodImage.105	FOODEEG_Images\0913.jpg	YN	Right	No	2.26696279994212	0	172281	253
338.744140625	0	taste	response	1	3	3	foodImage.105	FOODEEG_Images\0913.jpg	YN	Right	No	2.26696279994212	0	173438	235
339.787109375	1	taste	trialStart	1	4	4	foodImage.41	FOODEEG_Images\0409.jpg	YN	Right	No	2.40691110002808	0	173972	251
340.8359375	2	taste	foodImageDisplay	1	4	4	foodImage.41	FOODEEG_Images\0409.jpg	YN	Right	No	2.40691110002808	0	174509	252
342.8984375	2.40691110002808	taste	choicePhaseStart	1	4	4	foodImage.41	FOODEEG_Images\0409.jpg	YN	Right	No	2.40691110002808	0	175565	253
345.296875	0	taste	response	1	4	4	foodImage.41	FOODEEG_Images\0409.jpg	YN	Right	No	2.40691110002808	0	176793	235
346.33984375	1	taste	trialStart	1	5	5	foodImage.88	FOODEEG_Images\0878.jpg	YN	Left	Yes	0.892184600001201	0	177327	251
347.40234375	2	taste	foodImageDisplay	1	5	5	foodImage.88	FOODEEG_Images\0878.jpg	YN	Left	Yes	0.892184600001201	0	177871	252
349.474609375	0.892184600001201	taste	choicePhaseStart	1	5	5	foodImage.88	FOODEEG_Images\0878.jpg	YN	Left	Yes	0.892184600001201	0	178932	253
350.359375	0	taste	response	1	5	5	foodImage.88	FOODEEG_Images\0878.jpg	YN	Left	Yes	0.892184600001201	0	179385	234
351.408203125	1	health	trialStart	1	6	6	foodImage.23	FOODEEG_Images\0244.jpg	YN	Left	Yes	0.730852200184017	0	179922	251
352.451171875	2	health	foodImageDisplay	1	6	6	foodImage.23	FOODEEG_Images\0244.jpg	YN	Left	Yes	0.730852200184017	0	180456	252
354.513671875	0.730852200184017	health	choicePhaseStart	1	6	6	foodImage.23	FOODEEG_Images\0244.jpg	YN	Left	Yes	0.730852200184017	0	181512	253
355.240234375	0	health	response	1	6	6	foodImage.23	FOODEEG_Images\0244.jpg	YN	Left	Yes	0.730852200184017	0	181884	234
356.28515625	1	taste	trialStart	1	7	7	foodImage.15	FOODEEG_Images\0189.jpg	YN	Left	Yes	1.04887160006911	0	182419	251
357.341796875	2	taste	foodImageDisplay	1	7	7	foodImage.15	FOODEEG_Images\0189.jpg	YN	Left	Yes	1.04887160006911	0	182960	252
359.404296875	1.04887160006911	taste	choicePhaseStart	1	7	7	foodImage.15	FOODEEG_Images\0189.jpg	YN	Left	Yes	1.04887160006911	0	184016	253
360.447265625	0	taste	response	1	7	7	foodImage.15	FOODEEG_Images\0189.jpg	YN	Left	Yes	1.04887160006911	0	184550	234
361.490234375	1	taste	trialStart	1	8	8	foodImage.18	FOODEEG_Images\0202.jpg	NY	Left	No	2.24310610000975	0	185084	251
